A  B  P   OVF
0  0  0   0
0  1  0   0
0  2  0   0
0  3  0   0
0  4  0   0
0  5  0   0
0  6  0   0
0  7  0   0
0  8  0   0
0  9  0   0
0  10 0   0
0  11 0   0
0  12 0   0
0  13 0   0
0  14 0   0
0  15 0   0
1  0  0   0
1  1  1   0
1  2  2   0
1  3  3   0
1  4  4   0
1  5  5   0
1  6  6   0
1  7  7   0
1  8  8   0
1  9  9   0
1  10 10  0
1  11 11  0
1  12 12  0
1  13 13  0
1  14 14  0
1  15 15  0
2  0  0   0
2  1  2   0
2  2  4   0
2  3  6   0
2  4  8   0
2  5  10  0
2  6  12  0
2  7  14  0
2  8  16  1
2  9  18  1
2  10 20  1
2  11 22  1
2  12 24  1
2  13 26  1
2  14 28  1
2  15 30  1
3  0  0   0
3  1  3   0
3  2  6   0
3  3  9   0
3  4  12  0
3  5  15  0
3  6  18  1
3  7  21  1
3  8  24  1
3  9  27  1
3  10 30  1
3  11 33  1
3  12 36  1
3  13 39  1
3  14 42  1
3  15 45  1
4  0  0   0
4  1  4   0
4  2  8   0
4  3  12  0
4  4  16  1
4  5  20  1
4  6  24  1
4  7  28  1
4  8  32  1
4  9  36  1
4  10 40  1
4  11 44  1
4  12 48  1
4  13 52  1
4  14 56  1
4  15 60  1
5  0  0   0
5  1  5   0
5  2  10  0
5  3  15  0
5  4  20  1
5  5  25  1
5  6  30  1
5  7  35  1
5  8  40  1
5  9  45  1
5  10 50  1
5  11 55  1
5  12 60  1
5  13 65  1
5  14 70  1
5  15 75  1
6  0  0   0
6  1  6   0
6  2  12  0
6  3  18  1
6  4  24  1
6  5  30  1
6  6  36  1
6  7  42  1
6  8  48  1
6  9  54  1
6  10 60  1
6  11 66  1
6  12 72  1
6  13 78  1
6  14 84  1
6  15 90  1
7  0  0   0
7  1  7   0
7  2  14  0
7  3  21  1
7  4  28  1
7  5  35  1
7  6  42  1
7  7  49  1
7  8  56  1
7  9  63  1
7  10 70  1
7  11 77  1
7  12 84  1
7  13 91  1
7  14 98  1
7  15 105 1
8  0  0   0
8  1  8   0
8  2  16  1
8  3  24  1
8  4  32  1
8  5  40  1
8  6  48  1
8  7  56  1
8  8  64  1
8  9  72  1
8  10 80  1
8  11 88  1
8  12 96  1
8  13 104 1
8  14 112 1
8  15 120 1
9  0  0   0
9  1  9   0
9  2  18  1
9  3  27  1
9  4  36  1
9  5  45  1
9  6  54  1
9  7  63  1
9  8  72  1
9  9  81  1
9  10 90  1
9  11 99  1
9  12 108 1
9  13 117 1
9  14 126 1
9  15 135 1
10 0  0   0
10 1  10  0
10 2  20  1
10 3  30  1
10 4  40  1
10 5  50  1
10 6  60  1
10 7  70  1
10 8  80  1
10 9  90  1
10 10 100 1
10 11 110 1
10 12 120 1
10 13 130 1
10 14 140 1
10 15 150 1
11 0  0   0
11 1  11  0
11 2  22  1
11 3  33  1
11 4  44  1
11 5  55  1
11 6  66  1
11 7  77  1
11 8  88  1
11 9  99  1
11 10 110 1
11 11 121 1
11 12 132 1
11 13 143 1
11 14 154 1
11 15 165 1
12 0  0   0
12 1  12  0
12 2  24  1
12 3  36  1
12 4  48  1
12 5  60  1
12 6  72  1
12 7  84  1
12 8  96  1
12 9  108 1
12 10 120 1
12 11 132 1
12 12 144 1
12 13 156 1
12 14 168 1
12 15 180 1
13 0  0   0
13 1  13  0
13 2  26  1
13 3  39  1
13 4  52  1
13 5  65  1
13 6  78  1
13 7  91  1
13 8  104 1
13 9  117 1
13 10 130 1
13 11 143 1
13 12 156 1
13 13 169 1
13 14 182 1
13 15 195 1
14 0  0   0
14 1  14  0
14 2  28  1
14 3  42  1
14 4  56  1
14 5  70  1
14 6  84  1
14 7  98  1
14 8  112 1
14 9  126 1
14 10 140 1
14 11 154 1
14 12 168 1
14 13 182 1
14 14 196 1
14 15 210 1
15 0  0   0
15 1  15  0
15 2  30  1
15 3  45  1
15 4  60  1
15 5  75  1
15 6  90  1
15 7  105 1
15 8  120 1
15 9  135 1
15 10 150 1
15 11 165 1
15 12 180 1
15 13 195 1
15 14 210 1
15 15 225 1
